audio_model,n_fake,n_real,strategy,auc,acc,precision,recall,f1
vits,195,250,X3D,49.6,56.4,66.67,1.03,2.02
vits,195,250,AASIST,90.39,70.79,100.0,33.33,50.0
vits,195,250,HSEmotion,49.5,51.46,44.62,44.62,44.62
vits,195,250,CRNN,51.08,55.73,48.08,12.82,20.24
vits,195,250,Score_art,83.51,70.56,98.48,33.33,49.81
vits,195,250,Score_emo,51.39,51.46,46.15,64.62,53.85
vits,195,250,Score_final,66.9,58.2,51.47,81.03,62.95
vits_word,69,250,X3D,52.49,78.06,0.0,0.0,0.0
vits_word,69,250,AASIST,89.56,82.13,100.0,17.39,29.63
vits_word,69,250,HSEmotion,53.25,55.8,25.0,52.17,33.8
vits_word,69,250,CRNN,57.79,74.61,35.71,21.74,27.03
vits_word,69,250,Score_art,82.99,81.82,92.31,17.39,29.27
vits_word,69,250,Score_emo,56.71,49.22,26.87,78.26,40.0
vits_word,69,250,Score_final,63.46,50.16,28.37,85.51,42.6
yourtts,223,250,X3D,49.23,52.64,0.0,0.0,0.0
yourtts,223,250,AASIST,92.36,66.38,100.0,28.7,44.6
yourtts,223,250,HSEmotion,46.58,48.2,44.33,38.57,41.25
yourtts,223,250,CRNN,48.02,51.59,43.75,9.42,15.5
yourtts,223,250,Score_art,84.12,66.38,98.48,29.15,44.98
yourtts,223,250,Score_emo,47.26,47.78,45.56,55.16,49.9
yourtts,223,250,Score_final,60.78,54.76,51.47,70.85,59.62
yourtts_word,13,250,X3D,48.75,94.68,0.0,0.0,0.0
yourtts_word,13,250,AASIST,79.97,95.06,0.0,0.0,0.0
yourtts_word,13,250,HSEmotion,40.68,55.89,4.42,38.46,7.94
yourtts_word,13,250,CRNN,48.55,85.55,6.9,15.38,9.52
yourtts_word,13,250,Score_art,70.68,94.68,0.0,0.0,0.0
yourtts_word,13,250,Score_emo,42.0,42.21,5.16,61.54,9.52
yourtts_word,13,250,Score_final,42.37,41.44,5.1,61.54,9.41
