duration_bin,n_fake,strategy,auc,acc,precision,recall,f1
Short  (<0.22s),245,X3D,52.3,50.71,66.67,0.82,1.61
Short  (<0.22s),245,AASIST,87.95,63.23,100.0,25.71,40.91
Short  (<0.22s),245,HSEmotion,47.36,48.89,48.08,40.82,44.15
Short  (<0.22s),245,CRNN,49.7,50.51,50.0,11.02,18.06
Short  (<0.22s),245,Score_art,81.02,63.43,98.48,26.53,41.8
Short  (<0.22s),245,Score_emo,48.26,50.1,49.66,59.18,54.0
Short  (<0.22s),245,Score_final,59.82,56.97,54.85,73.88,62.96
Medium (0.22-0.36s),257,X3D,50.26,49.11,0.0,0.0,0.0
Medium (0.22-0.36s),257,AASIST,85.44,57.99,100.0,17.12,29.24
Medium (0.22-0.36s),257,HSEmotion,47.79,49.9,50.68,43.19,46.64
Medium (0.22-0.36s),257,CRNN,49.4,49.7,51.79,11.28,18.53
Medium (0.22-0.36s),257,Score_art,75.46,57.79,97.78,17.12,29.14
Medium (0.22-0.36s),257,Score_emo,49.92,50.49,51.0,59.53,54.94
Medium (0.22-0.36s),257,Score_final,58.92,54.83,54.29,68.87,60.72
Long   (≥0.36s),248,X3D,51.15,50.2,50.0,0.4,0.8
Long   (≥0.36s),248,AASIST,83.48,57.03,100.0,13.71,24.11
Long   (≥0.36s),248,HSEmotion,50.83,51.61,51.57,46.37,48.83
Long   (≥0.36s),248,CRNN,51.73,51.81,56.45,14.11,22.58
Long   (≥0.36s),248,Score_art,75.87,56.83,97.14,13.71,24.03
Long   (≥0.36s),248,Score_emo,52.21,53.82,52.88,66.53,58.93
Long   (≥0.36s),248,Score_final,57.95,56.83,54.98,73.39,62.87
