Video_Path,Manipulation_Type,Method,Is_Fake_Label,Predicted_Video_Emotion,Emotion_Similarity_Score
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (American)\men\id04073\00021_id00029_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Neutral,0.1697
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (South)\men\id04561\00248_id06334_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Happiness,0.2133
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (American)\men\id00088\00005_id01163_QSMeUEH3lJM_id00087_wavtolip.mp4,FakeVideo-FakeAudio,fsgan-wav2lip,1,Happiness,0.0997
FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03569\00065.mp4,RealVideo-RealAudio,real,0,Neutral,0.1588
FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01717\00005.mp4,RealVideo-RealAudio,real,0,Surprise,0.2388
FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01783\00015.mp4,RealVideo-RealAudio,real,0,Happiness,0.5995
FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (East)\women\id06225\00005.mp4,RealVideo-RealAudio,real,0,Happiness,0.6009
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Asian (East)\men\id04884\00028_id06467_bN8jVda0Byw.mp4,FakeVideo-RealAudio,fsgan,1,Anger,0.2518
FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00701\00092.mp4,RealVideo-RealAudio,real,0,Sadness,0.6495
FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\women\id00328\00092.mp4,RealVideo-RealAudio,real,0,Sadness,0.2319
FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (European)\men\id00306\00015.mp4,RealVideo-RealAudio,real,0,Happiness,0.2333
FakeAVCeleb_v1.2\RealVideo-RealAudio\Asian (South)\women\id05434\00052.mp4,RealVideo-RealAudio,real,0,Sadness,0.8273
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Asian (South)\men\id00732\00118_id04601_x4Apx8z6nOg_id06753_wavtolip.mp4,FakeVideo-FakeAudio,fsgan-wav2lip,1,Neutral,0.2557
FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\women\id00618\00195.mp4,RealVideo-RealAudio,real,0,Disgust,0.6829
FakeAVCeleb_v1.2\FakeVideo-RealAudio\Caucasian (European)\women\id00735\00037_id00330_wavtolip.mp4,FakeVideo-RealAudio,wav2lip,1,Fear,0.7271
FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00049\00118.mp4,RealVideo-RealAudio,real,0,Neutral,0.7922
FakeAVCeleb_v1.2\RealVideo-FakeAudio\Asian (South)\women\id06254\00043_fake.mp4,RealVideo-FakeAudio,rtvc,1,Surprise,0.2328
FakeAVCeleb_v1.2\FakeVideo-FakeAudio\Caucasian (European)\women\id00735\00037_id00188_e-vm5FB3idA_id03941_wavtolip.mp4,FakeVideo-FakeAudio,fsgan-wav2lip,1,Surprise,0.0706
