scenario,strategy,group,N_fake,N_real,AUC,Acc,Prec,Recall,F1,N
F→F,X3D,faceswap,13,500,100.0,100.0,100.0,100.0,100.0,513
F→F,AASIST,faceswap,13,500,55.52,97.27,0.0,0.0,0.0,513
F→F,HSEmo,faceswap,13,500,85.65,89.08,13.56,61.54,22.22,513
F→F,CRNN,faceswap,13,500,55.89,89.67,4.55,15.38,7.02,513
F→F,Score_art,faceswap,13,500,100.0,99.81,92.86,100.0,96.3,513
F→F,Score_emo,faceswap,13,500,82.37,73.1,6.9,76.92,12.66,513
F→F,Score_final,faceswap,13,500,99.98,73.49,8.72,100.0,16.05,513
F→F,X3D,faceswap-wav2lip,59,500,100.0,100.0,100.0,100.0,100.0,559
F→F,AASIST,faceswap-wav2lip,59,500,100.0,99.82,98.33,100.0,99.16,559
F→F,HSEmo,faceswap-wav2lip,59,500,99.15,90.7,53.21,98.31,69.05,559
F→F,CRNN,faceswap-wav2lip,59,500,97.17,91.23,55.32,88.14,67.97,559
F→F,Score_art,faceswap-wav2lip,59,500,100.0,99.82,98.33,100.0,99.16,559
F→F,Score_emo,faceswap-wav2lip,59,500,99.73,75.85,30.41,100.0,46.64,559
F→F,Score_final,faceswap-wav2lip,59,500,100.0,75.67,30.26,100.0,46.46,559
F→F,X3D,fsgan,84,500,99.95,99.66,100.0,97.62,98.8,584
F→F,AASIST,fsgan,84,500,53.92,85.45,0.0,0.0,0.0,584
F→F,HSEmo,fsgan,84,500,85.28,86.13,51.43,64.29,57.14,584
F→F,CRNN,fsgan,84,500,51.42,79.79,16.0,9.52,11.94,584
F→F,Score_art,fsgan,84,500,99.93,99.49,98.8,97.62,98.2,584
F→F,Score_emo,fsgan,84,500,84.14,74.32,33.82,82.14,47.92,584
F→F,Score_final,fsgan,84,500,98.89,76.54,37.9,98.81,54.79,584
F→F,X3D,fsgan-wav2lip,87,500,100.0,100.0,100.0,100.0,100.0,587
F→F,AASIST,fsgan-wav2lip,87,500,100.0,99.83,98.86,100.0,99.43,587
F→F,HSEmo,fsgan-wav2lip,87,500,98.18,90.8,62.22,96.55,75.68,587
F→F,CRNN,fsgan-wav2lip,87,500,96.11,91.14,64.71,88.51,74.76,587
F→F,Score_art,fsgan-wav2lip,87,500,100.0,99.83,98.86,100.0,99.43,587
F→F,Score_emo,fsgan-wav2lip,87,500,99.58,77.0,39.19,100.0,56.31,587
F→F,Score_final,fsgan-wav2lip,87,500,100.0,76.83,39.01,100.0,56.13,587
F→F,X3D,rtvc,9,500,70.37,98.23,0.0,0.0,0.0,509
F→F,AASIST,rtvc,9,500,100.0,99.8,90.0,100.0,94.74,509
F→F,HSEmo,rtvc,9,500,59.02,88.41,1.92,11.11,3.28,509
F→F,CRNN,rtvc,9,500,99.7,91.75,17.65,100.0,30.0,509
F→F,Score_art,rtvc,9,500,100.0,99.8,90.0,100.0,94.74,509
F→F,Score_emo,rtvc,9,500,97.53,73.48,6.25,100.0,11.76,509
F→F,Score_final,rtvc,9,500,100.0,73.28,6.21,100.0,11.69,509
F→F,X3D,wav2lip,248,500,100.0,100.0,100.0,100.0,100.0,748
F→F,AASIST,wav2lip,248,500,77.84,83.42,99.21,50.4,66.84,748
F→F,HSEmo,wav2lip,248,500,92.77,86.36,79.44,79.44,79.44,748
F→F,CRNN,wav2lip,248,500,83.35,79.14,76.14,54.03,63.21,748
F→F,Score_art,wav2lip,248,500,100.0,99.87,99.6,100.0,99.8,748
F→F,Score_emo,wav2lip,248,500,95.39,80.75,63.9,96.37,76.85,748
F→F,Score_final,wav2lip,248,500,100.0,81.82,64.58,100.0,78.48,748
