label,p_v_artifact,p_a_artifact,p_v_emotion,p_a_emotion,label_int,artifact_or,emotion_or,4way_or_final,pred_final,correct
0,0.0,0.0,1.6,35.01,0,0.0,36.05,36.05,0,1
0,0.0,0.0,12.1,55.85,0,0.0,61.19,61.19,1,0
0,0.01,0.0,8.37,32.81,0,0.01,38.43,38.44,0,1
0,0.0,0.0,2.73,45.48,0,0.0,46.97,46.97,0,1
0,0.0,0.0,27.99,46.77,0,0.0,61.67,61.67,1,0
0,0.01,0.0,10.19,33.2,0,0.01,40.01,40.01,0,1
0,0.0,0.0,23.94,29.68,0,0.0,46.51,46.51,0,1
0,0.01,0.0,4.99,28.39,0,0.01,31.96,31.97,0,1
0,0.0,0.0,77.08,31.2,0,0.0,84.23,84.23,1,0
0,0.0,0.0,6.57,27.57,0,0.0,32.33,32.33,0,1
0,0.0,0.0,19.61,29.04,0,0.0,42.96,42.96,0,1
0,0.0,0.0,1.19,45.68,0,0.0,46.33,46.33,0,1
0,0.0,0.0,66.43,43.5,0,0.0,81.03,81.03,1,0
0,0.0,0.0,14.13,71.54,0,0.0,75.56,75.56,1,0
0,0.0,0.0,7.58,38.58,0,0.0,43.24,43.24,0,1
0,0.0,0.0,13.82,35.95,0,0.0,44.8,44.8,0,1
0,0.0,0.0,4.58,46.84,0,0.0,49.27,49.27,0,1
0,0.01,0.0,10.87,29.84,0,0.01,37.47,37.47,0,1
0,0.0,0.03,18.52,39.6,0,0.03,50.79,50.8,1,0
0,0.0,0.0,2.03,32.79,0,0.0,34.15,34.15,0,1
0,0.0,0.0,12.05,30.59,0,0.0,38.95,38.95,0,1
0,0.0,0.0,23.32,33.75,0,0.0,49.2,49.2,0,1
0,0.0,0.0,47.9,32.27,0,0.0,64.71,64.71,1,0
0,0.0,0.0,10.21,29.1,0,0.0,36.34,36.34,0,1
0,0.0,0.0,5.2,32.96,0,0.0,36.45,36.45,0,1
0,0.0,0.0,11.38,32.42,0,0.0,40.11,40.11,0,1
0,0.01,0.0,3.74,29.29,0,0.01,31.93,31.94,0,1
0,0.0,0.0,7.28,34.03,0,0.0,38.83,38.83,0,1
0,0.08,0.0,2.81,31.52,0,0.08,33.44,33.5,0,1
0,0.0,0.0,5.98,32.46,0,0.0,36.5,36.5,0,1
0,0.0,0.01,1.79,28.38,0,0.01,29.66,29.67,0,1
0,0.0,0.0,3.88,33.28,0,0.0,35.87,35.87,0,1
0,0.0,0.0,96.94,40.37,0,0.0,98.18,98.18,1,0
0,0.0,0.0,99.46,43.68,0,0.0,99.7,99.7,1,0
0,0.0,0.0,2.88,32.4,0,0.0,34.35,34.35,0,1
0,0.0,0.0,2.24,28.26,0,0.0,29.87,29.87,0,1
0,0.0,0.0,1.13,35.8,0,0.0,36.53,36.53,0,1
0,0.0,0.0,77.76,25.6,0,0.0,83.45,83.45,1,0
0,0.0,0.0,0.86,36.88,0,0.0,37.42,37.42,0,1
0,0.06,0.0,12.66,25.64,0,0.06,35.05,35.09,0,1
0,0.0,0.0,16.01,28.91,0,0.0,40.29,40.29,0,1
0,0.0,0.0,3.97,30.02,0,0.0,32.8,32.8,0,1
0,0.0,0.0,47.86,32.16,0,0.0,64.63,64.63,1,0
0,0.0,0.0,11.39,32.81,0,0.0,40.46,40.46,0,1
0,0.0,0.0,7.99,29.31,0,0.0,34.96,34.96,0,1
0,0.0,0.0,10.35,33.02,0,0.0,39.95,39.95,0,1
0,0.0,0.0,7.72,43.99,0,0.0,48.31,48.31,0,1
0,0.0,0.0,3.4,30.72,0,0.0,33.08,33.08,0,1
0,0.0,0.0,1.72,31.6,0,0.0,32.78,32.78,0,1
0,0.0,0.0,23.95,32.09,0,0.0,48.35,48.35,0,1
0,0.01,0.0,7.7,38.92,0,0.01,43.62,43.63,0,1
0,0.0,0.0,41.84,30.61,0,0.0,59.64,59.64,1,0
0,0.0,0.0,8.3,33.81,0,0.0,39.3,39.3,0,1
0,0.0,0.0,9.56,29.17,0,0.0,35.94,35.94,0,1
0,0.0,0.0,3.87,26.89,0,0.0,29.72,29.72,0,1
0,0.0,0.0,9.5,37.43,0,0.0,43.37,43.37,0,1
0,0.0,0.0,0.52,31.44,0,0.0,31.8,31.8,0,1
0,0.06,0.01,25.82,26.47,0,0.07,45.46,45.49,0,1
0,0.0,0.0,13.74,34.25,0,0.0,43.28,43.28,0,1
0,0.0,0.06,48.21,34.27,0,0.06,65.96,65.98,1,0
0,0.0,0.0,1.32,30.09,0,0.0,31.01,31.01,0,1
0,0.12,0.0,4.51,64.96,0,0.12,66.54,66.58,1,0
0,0.0,0.0,8.1,44.59,0,0.0,49.08,49.08,0,1
0,0.0,0.0,18.56,32.02,0,0.0,44.64,44.64,0,1
0,0.0,0.0,9.3,35.97,0,0.0,41.92,41.92,0,1
0,0.01,0.0,2.18,44.38,0,0.01,45.59,45.6,0,1
0,0.0,0.0,14.23,29.22,0,0.0,39.29,39.29,0,1
0,0.0,0.0,9.53,26.84,0,0.0,33.81,33.81,0,1
0,0.0,0.0,3.8,34.68,0,0.0,37.16,37.16,0,1
0,0.0,0.0,0.95,33.16,0,0.0,33.79,33.79,0,1
0,0.0,0.0,8.48,30.67,0,0.0,36.55,36.55,0,1
0,0.0,0.0,2.95,51.35,0,0.0,52.79,52.79,1,0
0,0.0,0.0,8.33,48.0,0,0.0,52.33,52.33,1,0
0,0.01,0.0,8.07,29.18,0,0.01,34.9,34.9,0,1
0,0.36,0.0,11.03,34.64,0,0.36,41.85,42.06,0,1
0,0.0,0.0,0.87,33.3,0,0.0,33.88,33.88,0,1
0,0.0,0.0,1.7,27.99,0,0.0,29.21,29.21,0,1
0,0.0,0.0,23.01,28.81,0,0.0,45.19,45.19,0,1
0,0.0,0.0,3.76,31.69,0,0.0,34.26,34.26,0,1
0,0.0,0.0,6.21,29.99,0,0.0,34.34,34.34,0,1
0,0.0,0.0,17.71,28.98,0,0.0,41.56,41.56,0,1
0,0.0,0.0,2.53,32.71,0,0.0,34.41,34.41,0,1
0,0.05,0.0,9.18,31.97,0,0.05,38.22,38.25,0,1
0,0.0,0.0,92.44,41.48,0,0.0,95.58,95.58,1,0
0,0.01,0.0,1.16,28.86,0,0.01,29.69,29.69,0,1
0,0.0,0.0,22.26,28.83,0,0.0,44.67,44.67,0,1
0,0.01,0.0,11.88,28.97,0,0.01,37.41,37.41,0,1
0,0.0,0.0,15.42,29.39,0,0.0,40.28,40.28,0,1
0,0.0,0.0,4.13,30.19,0,0.0,33.07,33.07,0,1
0,0.0,0.0,2.45,26.3,0,0.0,28.11,28.11,0,1
0,0.0,0.0,9.73,60.71,0,0.0,64.53,64.53,1,0
0,0.01,0.0,16.65,30.15,0,0.01,41.78,41.79,0,1
0,0.01,0.0,13.41,33.56,0,0.01,42.47,42.48,0,1
0,0.0,0.0,2.98,33.83,0,0.0,35.8,35.8,0,1
0,0.0,0.0,10.14,29.96,0,0.0,37.06,37.06,0,1
0,0.0,0.0,16.9,30.23,0,0.0,42.02,42.02,0,1
0,0.0,0.0,13.81,25.52,0,0.0,35.81,35.81,0,1
0,0.01,0.0,23.55,33.22,0,0.01,48.95,48.95,0,1
0,0.0,0.0,7.1,37.12,0,0.0,41.58,41.58,0,1
0,0.0,0.0,13.64,26.89,0,0.0,36.86,36.86,0,1
0,0.0,0.0,88.35,27.95,0,0.0,91.61,91.61,1,0
