threshold,auc,acc,precision,recall,f1,tn,fp,fn,tp,strategy
0.3,92.58,85.8,84.42,87.8,86.08,419,81,61,439,영상 단독
0.35,92.58,85.7,85.49,86.0,85.74,427,73,70,430,영상 단독
0.4,92.58,85.9,86.41,85.2,85.8,433,67,74,426,영상 단독
0.45,92.58,85.7,87.11,83.8,85.42,438,62,81,419,영상 단독
0.5,92.58,85.9,88.27,82.8,85.45,445,55,86,414,영상 단독
0.55,92.58,86.2,89.87,81.6,85.53,454,46,92,408,영상 단독
0.6,92.58,85.9,90.89,79.8,84.98,460,40,101,399,영상 단독
0.65,92.58,85.2,91.31,77.8,84.02,463,37,111,389,영상 단독
0.7,92.58,84.9,92.67,75.8,83.39,470,30,121,379,영상 단독
0.75,92.58,84.5,93.67,74.0,82.68,475,25,130,370,영상 단독
0.8,92.58,84.0,94.04,72.6,81.94,477,23,137,363,영상 단독
0.85,92.58,83.6,94.44,71.4,81.32,479,21,143,357,영상 단독
0.9,92.58,81.7,95.42,66.6,78.45,484,16,167,333,영상 단독
0.3,81.42,61.3,57.09,91.0,70.16,158,342,45,455,오디오 단독
0.35,81.42,73.1,72.6,74.2,73.39,360,140,129,371,오디오 단독
0.4,81.42,74.6,79.71,66.0,72.21,416,84,170,330,오디오 단독
0.45,81.42,74.8,85.03,60.2,70.49,447,53,199,301,오디오 단독
0.5,81.42,74.1,87.08,56.6,68.61,458,42,217,283,오디오 단독
0.55,81.42,73.9,89.44,54.2,67.5,468,32,229,271,오디오 단독
0.6,81.42,73.5,90.38,52.6,66.5,472,28,237,263,오디오 단독
0.65,81.42,73.8,93.75,51.0,66.06,483,17,245,255,오디오 단독
0.7,81.42,73.4,93.98,50.0,65.27,484,16,250,250,오디오 단독
0.75,81.42,71.9,95.44,46.0,62.08,489,11,270,230,오디오 단독
0.8,81.42,69.6,95.37,41.2,57.54,490,10,294,206,오디오 단독
0.85,81.42,67.3,96.76,35.8,52.26,494,6,321,179,오디오 단독
0.9,81.42,64.7,97.42,30.2,46.11,496,4,349,151,오디오 단독
0.3,94.52,52.8,51.44,100.0,67.93,28,472,0,500,OR (1-(1-pv)(1-pa))
0.35,94.52,63.2,57.73,98.6,72.82,139,361,7,493,OR (1-(1-pv)(1-pa))
0.4,94.52,72.0,64.71,96.8,77.56,236,264,16,484,OR (1-(1-pv)(1-pa))
0.45,94.52,79.5,72.25,95.8,82.37,316,184,21,479,OR (1-(1-pv)(1-pa))
0.5,94.52,83.9,77.74,95.0,85.51,364,136,25,475,OR (1-(1-pv)(1-pa))
0.55,94.52,85.8,80.76,94.0,86.88,388,112,30,470,OR (1-(1-pv)(1-pa))
0.6,94.52,86.7,82.48,93.2,87.51,401,99,34,466,OR (1-(1-pv)(1-pa))
0.65,94.52,87.5,85.05,91.0,87.92,420,80,45,455,OR (1-(1-pv)(1-pa))
0.7,94.52,88.0,86.54,90.0,88.24,430,70,50,450,OR (1-(1-pv)(1-pa))
0.75,94.52,88.9,89.13,88.6,88.87,446,54,57,443,OR (1-(1-pv)(1-pa))
0.8,94.52,88.4,90.85,85.4,88.04,457,43,73,427,OR (1-(1-pv)(1-pa))
0.85,94.52,88.7,93.1,83.6,88.09,469,31,82,418,OR (1-(1-pv)(1-pa))
0.9,94.52,87.5,93.71,80.4,86.54,473,27,98,402,OR (1-(1-pv)(1-pa))
0.3,94.41,84.5,96.25,71.8,82.25,486,14,141,359,AND (pv × pa)
0.35,94.41,78.9,98.01,59.0,73.66,494,6,205,295,AND (pv × pa)
0.4,94.41,76.3,98.52,53.4,69.26,496,4,233,267,AND (pv × pa)
0.45,94.41,74.3,99.19,49.0,65.6,498,2,255,245,AND (pv × pa)
0.5,94.41,72.8,99.14,46.0,62.84,498,2,270,230,AND (pv × pa)
0.55,94.41,72.4,100.0,44.8,61.88,500,0,276,224,AND (pv × pa)
0.6,94.41,71.5,100.0,43.0,60.14,500,0,285,215,AND (pv × pa)
0.65,94.41,70.5,100.0,41.0,58.16,500,0,295,205,AND (pv × pa)
0.7,94.41,69.4,100.0,38.8,55.91,500,0,306,194,AND (pv × pa)
0.75,94.41,67.3,100.0,34.6,51.41,500,0,327,173,AND (pv × pa)
0.8,94.41,64.6,100.0,29.2,45.2,500,0,354,146,AND (pv × pa)
0.85,94.41,61.8,100.0,23.6,38.19,500,0,382,118,AND (pv × pa)
0.9,94.41,59.2,100.0,18.4,31.08,500,0,408,92,AND (pv × pa)
0.3,94.76,84.8,79.19,94.4,86.13,376,124,28,472,Mean ((pv+pa)/2)
0.35,94.76,86.8,82.62,93.2,87.59,402,98,34,466,Mean ((pv+pa)/2)
0.4,94.76,87.8,85.53,91.0,88.18,423,77,45,455,Mean ((pv+pa)/2)
0.45,94.76,88.8,88.65,89.0,88.82,443,57,55,445,Mean ((pv+pa)/2)
0.5,94.76,88.5,90.7,85.8,88.18,456,44,71,429,Mean ((pv+pa)/2)
