target_lang,real,fake,strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
ar,71,1333,🌟 4방향 OR (제출 그림),68.96653740900014,85.82621082621083,95.36,89.42235558889723,92.29578010065815,13,58,141,1192
ar,71,1333,4방향 Mean,67.58661496360006,7.4074074074074066,100.0,2.4756189047261814,4.831625183016105,71,0,1300,33
en,128,2403,🌟 4방향 OR (제출 그림),57.90418227215981,78.78308968787042,95.29126213592232,81.68955472326259,87.9677347075958,31,97,440,1963
en,128,2403,4방향 Mean,59.648908915938414,6.637692611615963,100.0,1.6645859342488558,3.2746623004502657,128,0,2363,40
es,122,2240,🌟 4방향 OR (제출 그림),67.01331967213115,80.82133784928027,95.19473950429943,84.01785714285714,89.25776618449135,27,95,358,1882
es,122,2240,4방향 Mean,66.07142857142857,7.705334462320068,100.0,2.6785714285714284,5.217391304347826,122,0,2180,60
fr,120,4053,🌟 4방향 OR (제출 그림),48.52372728020396,89.86340762041696,97.2902553413236,92.12928694793979,94.6394626790014,16,104,319,3734
fr,120,4053,4방향 Mean,50.70832305288264,3.7383177570093453,100.0,0.8882309400444115,1.760821716801174,120,0,4017,36
ja,60,2096,🌟 4방향 OR (제출 그림),60.29818702290076,81.58627087198515,97.48462828395752,83.20610687022901,89.78120978120978,15,45,352,1744
ja,60,2096,4방향 Mean,56.38994910941476,4.684601113172541,100.0,1.9561068702290079,3.837154890032756,60,0,2055,41
ru,136,1759,🌟 4방향 OR (제출 그림),63.07268501488146,77.99472295514512,93.06803594351733,82.4332006822058,87.42839915586373,28,108,309,1450
ru,136,1759,4방향 Mean,61.70513828044009,8.284960422163588,100.0,1.1938601478112563,2.359550561797753,136,0,1738,21
zh,129,2398,🌟 4방향 OR (제출 그림),79.51296623154956,86.90146418678275,96.617050067659,89.32443703085904,92.82773564463706,54,75,256,2142
zh,129,2398,4방향 Mean,80.93905774191671,7.6375148397309065,100.0,2.6688907422852375,5.199025182778229,129,0,2334,64
