tts,fake_count,strategy,auc,acc,precision,recall,f1,tn,fp,fn,tp
Xtts,3530,🌟 4방향 OR,62.97820250149779,74.81378026070763,83.88704318936877,85.8356940509915,84.85018202184263,184,582,500,3030
Xtts,3530,4방향 Mean,62.19441342021761,19.08752327746741,100.0,1.529745042492918,3.013392857142857,766,0,3476,54
Bark,4279,🌟 4방향 OR,56.97284753947416,75.18334985133795,86.11309949892627,84.34213601308717,85.21841794569067,184,582,670,3609
Bark,4279,4방향 Mean,57.31253550492813,15.817641228939545,100.0,0.7478382799719561,1.4845743446996056,766,0,4247,32
MicroTts,5135,🌟 4방향 OR,73.27156335088384,83.1723436705643,89.03128533735394,91.99610516066213,90.48941672253615,184,582,411,4724
MicroTts,5135,4방향 Mean,73.02437325374164,15.3363836637858,100.0,2.7069133398247325,5.271141448615851,766,0,4996,139
Tacotron,2723,🌟 4방향 OR,66.26393098534963,71.0518773287475,79.77059436913451,84.28204186558942,81.96428571428571,184,582,428,2295
Tacotron,2723,4방향 Mean,67.39068317561743,23.96102034967039,100.0,2.570694087403599,5.012531328320802,766,0,2653,70
Vall,615,🌟 4방향 OR,50.56613385977201,45.83635047067342,43.549951503394766,73.00813008130082,54.55650060753341,184,582,166,449
Vall,615,4방향 Mean,49.56547581141608,55.4670528602462,0.0,0.0,0.0,766,0,615,0
